Response_ID,Age,Gender,Income,Occupation,Gym_Days_Per_Week,Workout_Type,Gym_Duration_Years,Hist_Foot_Infection,Forgetting_Freq,Primary_Pain_Point,Prev_Foot_Care,Hygiene_Score,Skin_Sensitivity,Imp_Material,Imp_Antibacterial,Imp_Antimicrobial,Imp_Price,Imp_Lifestyle_Fit,Imp_Brand,Monthly_Activewear_Spend,WTP_Disposable_Socks,Max_WTP_Per_Pair,Subscription_Interest,Eco_Trend_Score,Vendor_Trust_Score,QC_Score,Preferred_Pack,Primary_Purchase_Driver,Brand_Stigma,Open_Ended_Reason,Owns_Gym_Bag,Owns_Shaker_Bottle,Buys_Sweat_Towel,Buys_Body_Wipes,Buys_Deodorant_Sticks,Interested_Disposable_Underwear,Uses_Foot_Powder_Insert,Buys_Blister_Plasters,Uses_Muscle_Recovery_Balm,Products_Purchased_Together,Recency_Days,Frequency_Purchases_6M,Monetary_Spend_6M
11,26,Male,30k-50k,Blue_Collar,4,Weights,3,No,4,Blisters,0,5,0,3,5,2,2,3,2,136.6,0,15-25,1,1,2,2,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",No,No,No,No,Yes,No,No,Yes,Yes,Deodorant_Sticks; Blister_Plasters; Muscle_Recovery_Balm,44,0,57.35
12,30,Male,100k+,Corporate,4,Cardio,2,No,4,Odor,0,5,0,4,4,5,4,3,3,112.88,1,25-35,2,3,4,5,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Disposable_Socks; Gym_Bag; Shaker_Bottle; Body_Wipes; Deodorant_Sticks; Disposable_Underwear,41,2,114.74
13,34,Female,100k+,Corporate,4,Yoga,2,Yes,2,Odor,No,8,Normal,4,3,3,3,3,4,319.38,1,35+,4,4,4,3,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,Yes,No,No,Yes,Yes,No,Yes,No,No,Disposable_Socks; Gym_Bag; Body_Wipes; Deodorant_Sticks; Foot_Powder_Insert,43,3,282.04
14,21,Female,Under_30k,Student,5,Yoga,2,Yes,3,Tightness,1,6,Sensitive,5,4,5,4,4,5,267.88,1,15-25,3,5,3,4,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",No,No,No,No,Yes,No,Yes,Yes,Yes,Disposable_Socks; Deodorant_Sticks; Foot_Powder_Insert; Blister_Plasters; Muscle_Recovery_Balm,35,3,175.29
15,31,Male,50k-100k,Entrepreneur,3,Yoga,2,Yes,1,Blisters,Yes,8,Sensitive,4,2,3,4,3,5,377.34,1,25-35,3,5,4,2,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,No,No,No,No,No,No,No,Yes,Yes,Disposable_Socks; Blister_Plasters; Muscle_Recovery_Balm,43,5,332.94
16,26,Male,30k-50k,Student,7,Weights,3,No,4,Blisters,0,5,0,4,5,2,1,4,2,101.47,0,Under_15,1,1,1,1,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,Yes,No,No,Yes,No,No,No,Yes,Gym_Bag; Shaker_Bottle; Deodorant_Sticks; Muscle_Recovery_Balm,25,3,89.47
17,25,Female,30k-50k,Blue_Collar,5,Weights,3,No,3,Blisters,0,6,0,3,4,3,2,4,1,189.6,0,Under_15,2,1,1,2,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",No,Yes,No,No,Yes,No,No,Yes,Yes,Shaker_Bottle; Deodorant_Sticks; Blister_Plasters; Muscle_Recovery_Balm,47,1,124.94
18,26,Male,Under_30k,Blue_Collar,6,Weights,3,No,4,Blisters,0,4,0,3,4,3,1,4,2,55.4,0,15-25,3,2,1,2,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",No,No,No,Yes,No,No,No,No,Yes,Body_Wipes; Muscle_Recovery_Balm,38,2,38.31
19,30,Male,100k+,Entrepreneur,3,Yoga,2,Yes,1,Blisters,Yes,6,Sensitive,4,3,4,3,4,5,390.63,1,25-35,5,4,4,1,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,No,No,No,Yes,No,No,No,No,No,Disposable_Socks; Body_Wipes,43,3,304.87
20,38,Female,100k+,Corporate,1,Cardio,2,Yes,5,Odor,0,7,0,3,4,5,5,2,2,233.51,1,15-25,2,2,5,5,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Disposable_Socks; Shaker_Bottle; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters; Muscle_Recovery_Balm,42,1,149.95
21,18,Non-binary,Under_30k,Student,3,Yoga,2,Yes,3,Tightness,1,10,Normal,5,4,5,3,5,4,237.4,1,25-35,3,4,2,3,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Disposable_Socks; Shaker_Bottle; Body_Wipes; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters; Muscle_Recovery_Balm,58,2,162.46
22,33,Male,100k+,Corporate,1,Cardio,2,Yes,5,Odor,0,7,0,3,3,5,4,2,3,123.55,1,25-35,3,3,4,5,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,No,No,No,Yes,Yes,Yes,Yes,No,No,Disposable_Socks; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert,54,3,129.77
23,15,Female,Under_30k,Student,6,Yoga,2,Yes,3,Tightness,1,7,Sensitive,4,3,3,3,4,5,190.85,1,15-25,5,4,2,4,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",No,Yes,Yes,Yes,No,No,No,No,Yes,Disposable_Socks; Shaker_Bottle; Sweat_Towel; Body_Wipes; Muscle_Recovery_Balm,26,6,221.67
24,24,Male,Under_30k,Blue_Collar,5,Weights,3,No,3,Blisters,0,4,0,4,5,3,2,3,2,74.57,0,Under_15,2,2,2,1,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",No,Yes,No,No,No,No,No,Yes,Yes,Shaker_Bottle; Blister_Plasters; Muscle_Recovery_Balm,59,2,51.01
25,32,Male,100k+,Corporate,5,Pilates,2,Yes,1,Odor,No,6,Normal,4,1,3,3,4,5,347.22,1,25-35,4,4,3,2,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,No,Yes,No,Yes,Yes,No,No,Yes,No,Disposable_Socks; Shaker_Bottle; Body_Wipes; Deodorant_Sticks; Blister_Plasters,34,6,355.65
26,17,Male,Under_30k,Student,5,Yoga,2,No,3,Tightness,1,7,Normal,4,4,4,3,5,5,269.72,1,15-25,4,4,3,4,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,Yes,No,No,No,Yes,No,Yes,No,Disposable_Socks; Gym_Bag; Shaker_Bottle; Disposable_Underwear; Blister_Plasters,23,7,287.73
27,31,Female,50k-100k,Corporate,3,Pilates,2,Yes,1,Blisters,No,8,Normal,4,2,4,4,3,5,312.18,1,25-35,2,5,3,3,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,Yes,Yes,No,Yes,Yes,No,Yes,No,No,Disposable_Socks; Gym_Bag; Shaker_Bottle; Body_Wipes; Deodorant_Sticks; Foot_Powder_Insert,43,4,270.53
28,20,Female,30k-50k,Blue_Collar,5,Weights,3,Yes,3,Blisters,0,4,0,4,5,2,2,3,2,163.57,0,Under_15,2,1,1,2,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",No,Yes,No,No,Yes,Yes,Yes,Yes,No,Shaker_Bottle; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters,25,2,104.21
29,25,Male,30k-50k,Blue_Collar,6,Weights,3,No,5,Blisters,0,6,0,3,5,3,1,4,2,146.17,0,Under_15,1,1,1,1,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Gym_Bag; Shaker_Bottle; Sweat_Towel; Body_Wipes; Disposable_Underwear; Blister_Plasters; Muscle_Recovery_Balm,49,3,110.19
30,29,Male,30k-50k,Blue_Collar,6,Weights,3,No,3,Blisters,0,6,0,3,4,2,2,3,2,86.81,0,Under_15,1,1,1,2,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,No,No,No,Yes,No,No,No,Yes,Gym_Bag; Deodorant_Sticks; Muscle_Recovery_Balm,38,3,86.69
31,27,Male,Under_30k,Student,7,Weights,3,Yes,4,Blisters,0,3,0,3,5,3,2,4,2,179.61,0,Under_15,1,2,2,1,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",No,No,Yes,No,No,No,No,Yes,Yes,Sweat_Towel; Blister_Plasters; Muscle_Recovery_Balm,31,4,156.13
32,24,Female,100k+,Entrepreneur,3,Yoga,2,No,1,Odor,Yes,6,Sensitive,5,2,3,3,3,5,388.02,1,35+,4,5,3,3,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Disposable_Socks; Gym_Bag; Sweat_Towel; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert,51,4,379.43
33,20,Male,Under_30k,Student,4,Yoga,2,No,3,Tightness,1,8,Sensitive,3,3,4,3,5,5,194.74,1,25-35,2,4,2,3,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,No,No,Yes,Yes,No,No,No,No,Disposable_Socks; Gym_Bag; Body_Wipes; Deodorant_Sticks,30,3,190.97
34,23,Male,30k-50k,Student,7,Weights,3,No,4,Blisters,0,5,0,4,4,2,1,4,2,139.98,0,Under_15,2,2,2,1,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,Yes,Yes,No,No,No,No,No,Yes,Gym_Bag; Shaker_Bottle; Sweat_Towel; Muscle_Recovery_Balm,39,3,96.46
35,23,Male,30k-50k,Student,6,Weights,3,Yes,4,Blisters,0,4,0,3,3,3,2,4,2,81.02,0,Under_15,2,2,2,2,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,Yes,No,No,No,No,No,Yes,Yes,Gym_Bag; Shaker_Bottle; Blister_Plasters; Muscle_Recovery_Balm,22,3,105.96
36,25,Female,100k+,Corporate,1,Cardio,2,Yes,4,Odor,0,8,0,4,4,5,5,4,4,200.58,1,25-35,1,2,5,5,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,No,No,Yes,Yes,Yes,Yes,Yes,No,No,Disposable_Socks; Sweat_Towel; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert,51,0,109.86
37,25,Male,Under_30k,Blue_Collar,5,Weights,3,Yes,3,Blisters,0,3,0,4,4,2,2,4,3,119.06,0,15-25,1,2,1,1,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,No,No,No,No,Yes,Yes,Yes,No,Gym_Bag; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters,35,3,125.91
38,32,Female,100k+,Entrepreneur,2,Yoga,2,Yes,1,Odor,No,9,Normal,5,3,4,4,3,4,317.16,1,35+,2,5,3,2,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Disposable_Socks; Sweat_Towel; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters,62,2,222.14
39,27,Female,100k+,Corporate,1,Yoga,2,Yes,2,Odor,No,8,Normal,5,4,4,3,3,5,231.85,1,35+,2,4,3,2,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,No,No,No,Yes,Yes,No,Yes,Yes,No,Disposable_Socks; Body_Wipes; Deodorant_Sticks; Foot_Powder_Insert; Blister_Plasters,69,0,127.55
40,31,Male,50k-100k,Entrepreneur,4,Pilates,2,No,1,Blisters,Yes,8,Normal,4,2,3,3,4,5,323.49,1,25-35,3,4,4,2,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,Yes,No,No,Yes,No,No,Yes,Yes,No,Disposable_Socks; Gym_Bag; Body_Wipes; Foot_Powder_Insert; Blister_Plasters,38,4,270.15
41,15,Male,Under_30k,Student,6,Yoga,2,No,2,Tightness,1,8,Sensitive,4,4,4,3,4,5,233.88,1,25-35,4,4,3,4,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,No,No,No,Yes,No,Yes,Yes,Yes,Disposable_Socks; Gym_Bag; Deodorant_Sticks; Foot_Powder_Insert; Blister_Plasters; Muscle_Recovery_Balm,38,5,260.11
42,24,Male,100k+,Corporate,3,Cardio,2,Yes,5,Odor,0,7,0,3,4,5,5,2,2,122.53,1,15-25,2,3,5,5,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Disposable_Socks; Gym_Bag; Shaker_Bottle; Body_Wipes; Deodorant_Sticks; Disposable_Underwear,45,3,101.34
43,23,Male,30k-50k,Student,6,Weights,3,Yes,3,Blisters,0,2,0,4,4,3,1,3,1,118.43,0,Under_15,3,2,1,1,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,Yes,No,No,No,No,Yes,No,Yes,Gym_Bag; Shaker_Bottle; Foot_Powder_Insert; Muscle_Recovery_Balm,42,5,101.48
44,30,Male,30k-50k,Blue_Collar,4,Weights,3,No,4,Blisters,0,8,0,3,4,3,1,4,1,120.2,0,15-25,1,1,1,2,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,Yes,No,Yes,Yes,No,No,Yes,No,Gym_Bag; Shaker_Bottle; Body_Wipes; Deodorant_Sticks; Blister_Plasters,43,0,61.03
45,21,Male,Under_30k,Student,4,Yoga,2,No,1,Tightness,1,10,Sensitive,5,4,4,4,5,4,247.56,1,15-25,3,4,3,2,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",No,No,No,No,No,No,Yes,Yes,No,Disposable_Socks; Foot_Powder_Insert; Blister_Plasters,27,2,141.39
46,35,Male,50k-100k,Entrepreneur,3,Pilates,2,Yes,1,Odor,No,7,Normal,5,3,4,4,3,4,341.49,1,25-35,3,4,3,2,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Disposable_Socks; Shaker_Bottle; Body_Wipes; Deodorant_Sticks; Foot_Powder_Insert; Blister_Plasters,30,4,277.39
47,21,Female,Under_30k,Student,6,Pilates,2,Yes,4,Tightness,1,10,Normal,5,4,5,3,5,4,307.75,1,15-25,4,4,3,4,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Disposable_Socks; Gym_Bag; Sweat_Towel; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Muscle_Recovery_Balm,34,6,272.72
48,22,Female,30k-50k,Student,6,Weights,3,Yes,3,Blisters,0,6,0,3,5,3,2,3,2,140.57,0,Under_15,3,1,1,2,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Shaker_Bottle; Sweat_Towel; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters; Muscle_Recovery_Balm,55,4,91.44
49,17,Female,Under_30k,Student,4,Yoga,2,Yes,4,Tightness,1,9,Normal,5,3,5,3,5,5,306.08,1,25-35,3,4,3,4,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,Yes,No,Yes,No,No,Yes,Yes,No,Disposable_Socks; Gym_Bag; Shaker_Bottle; Body_Wipes; Foot_Powder_Insert; Blister_Plasters,43,4,254.36
50,29,Female,30k-50k,Student,6,Weights,3,Yes,3,Blisters,0,4,0,3,5,3,1,3,2,109.3,0,15-25,3,1,2,1,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,Yes,Yes,No,No,No,No,Yes,Yes,Gym_Bag; Shaker_Bottle; Sweat_Towel; Blister_Plasters; Muscle_Recovery_Balm,33,3,102.24
51,18,Female,30k-50k,Student,4,Yoga,2,No,2,Tightness,1,8,Sensitive,5,4,4,4,4,4,234.54,1,15-25,3,5,2,4,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Disposable_Socks; Gym_Bag; Shaker_Bottle; Sweat_Towel; Body_Wipes; Deodorant_Sticks; Disposable_Underwear,56,5,196.27
52,18,Male,30k-50k,Student,5,Weights,3,Yes,3,Blisters,0,7,0,4,4,3,1,3,2,136.7,0,15-25,1,1,1,1,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",Yes,No,No,Yes,No,No,Yes,Yes,No,Gym_Bag; Body_Wipes; Foot_Powder_Insert; Blister_Plasters,47,1,97.52
53,35,Female,100k+,Corporate,2,Pilates,2,Yes,2,Odor,No,9,Sensitive,5,2,4,3,4,4,226.42,1,35+,3,5,4,3,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,Yes,No,No,Yes,No,No,Yes,Yes,No,Disposable_Socks; Gym_Bag; Body_Wipes; Foot_Powder_Insert; Blister_Plasters,49,3,218.38
54,28,Male,100k+,Corporate,4,Cardio,2,No,4,Odor,0,7,0,3,3,5,5,2,2,214.25,1,25-35,4,3,5,4,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Disposable_Socks; Gym_Bag; Sweat_Towel; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Blister_Plasters,41,4,238.61
55,26,Male,100k+,Corporate,3,Cardio,2,No,4,Odor,0,7,0,3,3,4,4,2,3,149.42,1,15-25,1,2,5,4,Single,Convenience,Yes,I constantly forget my gym gear and need 10-minute delivery.,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Disposable_Socks; Gym_Bag; Sweat_Towel; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert; Muscle_Recovery_Balm,48,1,108.52
56,20,Female,Under_30k,Student,5,Yoga,2,No,1,Tightness,1,8,Normal,5,3,4,3,5,4,196.11,1,25-35,3,4,2,4,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,No,No,No,No,Yes,No,No,Yes,Disposable_Socks; Gym_Bag; Disposable_Underwear; Muscle_Recovery_Balm,34,5,230.17
57,19,Female,Under_30k,Student,3,Yoga,2,No,3,Tightness,1,10,Sensitive,4,4,4,4,4,5,172.11,1,15-25,4,4,3,4,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",No,Yes,Yes,No,Yes,No,No,Yes,Yes,Disposable_Socks; Shaker_Bottle; Sweat_Towel; Deodorant_Sticks; Blister_Plasters; Muscle_Recovery_Balm,31,4,166.67
58,25,Male,Under_30k,Student,6,Weights,3,No,3,Blisters,0,4,0,3,5,3,1,4,1,117.35,0,15-25,1,2,2,1,Pack_30,Price,Unsure,"I need cheap, durable socks for heavy daily lifting.",No,Yes,No,No,No,Yes,Yes,Yes,No,Shaker_Bottle; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters,45,1,71.53
59,22,Male,Under_30k,Student,3,Yoga,2,Yes,2,Tightness,1,8,Sensitive,5,3,5,3,4,4,245.42,1,15-25,4,4,2,4,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Disposable_Socks; Gym_Bag; Shaker_Bottle; Body_Wipes; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters; Muscle_Recovery_Balm,42,3,165.73
60,33,Female,50k-100k,Corporate,3,Yoga,2,Yes,2,Odor,No,9,Sensitive,5,3,3,4,3,4,338.29,1,25-35,3,5,3,2,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Disposable_Socks; Shaker_Bottle; Body_Wipes; Deodorant_Sticks; Foot_Powder_Insert; Blister_Plasters,54,4,284.15
61,29,Female,100k+,Entrepreneur,3,Pilates,2,Yes,3,Odor,No,8,Normal,4,2,4,4,4,4,261.85,1,25-35,4,4,4,3,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Disposable_Socks; Shaker_Bottle; Sweat_Towel; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters,40,5,277.32
62,17,Male,30k-50k,Student,4,Yoga,2,No,3,Tightness,1,8,Sensitive,4,3,4,5,4,4,196.08,1,15-25,3,4,2,4,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Disposable_Socks; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Foot_Powder_Insert; Blister_Plasters; Muscle_Recovery_Balm,26,3,168.66
63,28,Male,100k+,Entrepreneur,3,Yoga,2,Yes,2,Blisters,No,8,Sensitive,5,2,4,3,3,5,348.95,1,25-35,4,5,4,3,Pack_5,Eco_Friendly,No,I prefer sustainable materials and high-end aesthetics.,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Disposable_Socks; Gym_Bag; Shaker_Bottle; Sweat_Towel; Body_Wipes; Deodorant_Sticks; Disposable_Underwear; Blister_Plasters; Muscle_Recovery_Balm,42,3,279.8
64,18,Female,Under_30k,Student,5,Yoga,2,Yes,3,Tightness,1,10,Sensitive,4,4,3,4,5,5,266.13,1,15-25,3,4,3,5,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,No,Yes,Yes,No,Yes,No,No,Yes,Disposable_Socks; Gym_Bag; Sweat_Towel; Body_Wipes; Disposable_Underwear; Muscle_Recovery_Balm,50,3,176.63
65,22,Male,Under_30k,Student,5,Pilates,2,Yes,3,Tightness,1,8,Sensitive,5,3,4,4,4,4,277.38,1,15-25,3,5,2,3,Pack_5,Brand,No,"I research everything and want transparent, antibacterial bamboo.",Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Disposable_Socks; Gym_Bag; Shaker_Bottle; Body_Wipes; Foot_Powder_Insert; Blister_Plasters; Muscle_Recovery_Balm,34,7,272.62
